question_id,compressed_tags
0,[-14.581881  -9.985709   8.773028  10.073711]
1,[-8.093493 -9.205657  1.788423 10.297422]
2,[-20.981781   -8.35818    -3.8366005  20.523558 ]
3,[ -5.313623 -10.450474  -9.594804  12.864284]
4,[-15.73284   -10.287952    6.2600574  12.127032 ]
5,[-10.219758 -13.889505   5.133246  20.298927]
6,[-23.211239 -18.19121  -19.831099  22.188362]
7,[ -3.5197442 -12.150224  -13.137603    6.8188915]
8,[-20.582083  -10.2989235  -7.346423   24.03791  ]
9,[ -9.192295   -12.940851     0.30351365  10.73432   ]
10,[-10.488575    -7.1302314    0.17051046   5.762681  ]
11,[ -7.0420294 -10.221293    6.579578   11.447911 ]
12,[-15.1536045  -3.5806692  -4.7787647  15.114803 ]
13,[-3.1695917 -6.551729  -9.349057   4.148691 ]
14,[-10.300681   -5.4643655   1.9236841   5.183834 ]
15,[ -3.039068   -11.599685     0.24234246   6.970677  ]
16,[-11.177843  -3.649342  -5.395022  10.410082]
17,[-6.910758 -9.530711 -7.441457 13.016252]
18,[ -8.806801  -8.7904   -10.193585   7.82443 ]
19,[-10.574946  -20.489185   -1.2168843  15.765444 ]
20,[-14.614762  -11.016356    6.1993313   9.624165 ]
21,[-12.792928 -21.964222  -2.736718  17.92362 ]
22,[-17.141214  -4.63446   -6.206233  12.155126]
23,[ -6.6193147 -12.503756  -24.241549    3.3311415]
24,[-10.959289  -11.987307   -4.427466    0.5197698]
25,[ -7.3422284 -18.640022   -4.4408264   8.578666 ]
26,[-23.260437  -11.9198265  -7.4310226  19.497736 ]
27,[ -6.6193147 -12.503756  -24.241549    3.3311415]
28,[-17.314293   -8.341853   -6.5060205  13.122075 ]
29,[-11.307543  -13.9592495   4.215905   20.794607 ]
30,[-14.581881  -9.985709   8.773028  10.073711]
31,[-12.985285  -13.940314    5.2498627  19.454462 ]
32,[-23.260437  -11.9198265  -7.4310226  19.497736 ]
33,[-13.540963 -12.170731   8.972344  10.238654]
34,[-18.527845 -11.184167 -22.034447  14.534877]
35,[-7.877844 -9.755937  4.003909 10.035004]
36,[-14.614762  -11.016356    6.1993313   9.624165 ]
37,[ -8.261056  -10.673981    3.0841446  10.448222 ]
38,[-21.957941 -14.585539 -17.320768  20.382559]
39,[-11.19551   -14.29025    -3.3276079  -1.0538538]
40,[-10.758564   -8.384315    2.478946    7.2806764]
41,[-10.300293 -13.885584  10.1217    19.941938]
42,[-16.138197   -5.929397   -6.4286766  10.572077 ]
43,[ -6.6723876 -10.439944  -10.059501   12.856336 ]
44,[-10.959289  -11.987307   -4.427466    0.5197698]
45,[-14.598603  -17.669647    0.9171856  18.880878 ]
46,[-23.260437  -11.9198265  -7.4310226  19.497736 ]
47,[ -6.6193147 -12.503756  -24.241549    3.3311415]
48,[-24.675196 -15.362616 -19.744316  23.445784]
49,[-14.598603  -17.669647    0.9171856  18.880878 ]
50,[-10.300681   -5.4643655   1.9236841   5.183834 ]
51,[-4.3188057 -9.748479   5.553155   8.248779 ]
52,[-11.177843  -3.649342  -5.395022  10.410082]
53,[ -5.313623 -10.450474  -9.594804  12.864284]
54,[-10.959289  -11.987307   -4.427466    0.5197698]
55,[-13.21927   -13.538326    2.9250362  18.870424 ]
56,[-13.871617 -13.264853  -9.145838  15.328084]
57,[-6.910758 -9.530711 -7.441457 13.016252]
58,[-17.935904  -7.895919 -14.264689  14.689954]
59,[-12.977605 -10.931109   5.217493  18.585932]
60,[-10.959289  -11.987307   -4.427466    0.5197698]
61,[-15.42179    -1.2696869  -9.572681    5.4794483]
62,[-15.021686   -1.3033447  -3.3431363   6.9516034]
63,[-8.337024  -7.2847934  3.909388   5.5261536]
64,[-14.449083   -4.2692657  -7.2611527  15.429241 ]
65,[-13.666951   -1.8838122  -4.163305    6.1528597]
66,[-10.758564   -8.384315    2.478946    7.2806764]
67,[-11.147809    -0.13523054  -5.0796595    3.90595   ]
68,[-12.9077      1.5288249  -2.0938857   5.890947 ]
69,[-10.959289  -11.987307   -4.427466    0.5197698]
70,[-14.581881  -9.985709   8.773028  10.073711]
71,[-12.977605 -10.931109   5.217493  18.585932]
72,[-20.758444   -9.129768   -4.5578327  23.538132 ]
73,[-6.910758 -9.530711 -7.441457 13.016252]
74,[-10.959289  -11.987307   -4.427466    0.5197698]
75,[-7.877844 -9.755937  4.003909 10.035004]
